MSN,YYYYMM,Value,Column_Order,Description,Unit
NGINUUS,199010,2.69,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199010,32.8,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199010,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199010,2.45,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199010,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199011,1.94,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199011,3.14,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199011,5.69,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199011,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199011,4.81,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199011,84.7,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199011,3.02,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199011,35.7,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199011,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199011,2.79,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199011,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199012,2.04,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199012,3.19,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199012,5.62,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199012,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199012,4.92,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199012,87.9,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199012,3.25,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199012,37.8,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199012,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199012,2.89,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199012,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
