"MSN","YYYYMM","Value","Column_Order","Description","Unit","Date"
"ESTCUUS",199712,6.6,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1997-12-01
"ESTCUUS",199801,6.57,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1998-01-01
"ESTCUUS",199802,6.52,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1998-02-01
"ESTCUUS",199803,6.53,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1998-03-01
"ESTCUUS",199804,6.51,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1998-04-01
"ESTCUUS",199805,6.67,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1998-05-01
"ESTCUUS",199806,6.97,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1998-06-01
"ESTCUUS",199807,7.21,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1998-07-01
"ESTCUUS",199808,7.14,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1998-08-01
"ESTCUUS",199809,6.95,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1998-09-01
"ESTCUUS",199810,6.69,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1998-10-01
"ESTCUUS",199811,6.39,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1998-11-01
"ESTCUUS",199812,6.46,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1998-12-01
"ESTCUUS",199901,6.42,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1999-01-01
"ESTCUUS",199902,6.5,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1999-02-01
"ESTCUUS",199903,6.43,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1999-03-01
"ESTCUUS",199904,6.4,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1999-04-01
"ESTCUUS",199905,6.5,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1999-05-01
"ESTCUUS",199906,6.83,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1999-06-01
"ESTCUUS",199907,7.11,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1999-07-01
"ESTCUUS",199908,7.08,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1999-08-01
"ESTCUUS",199909,6.87,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1999-09-01
"ESTCUUS",199910,6.7,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1999-10-01
"ESTCUUS",199911,6.39,6,"Average Price of Electricity to Ultimate Customers, Total","Cents per Kilowatthour,  Including Taxes",1999-11-01
